Province_State,Date,Confirmed,Deaths,Change_in_Confirmed_Cases,Change_in_Deaths
Alabama,2020-12-13,295631,4102,2790,0
Alabama,2020-12-14,297895,4102,2264,0
Alabama,2020-12-15,301533,4124,3638,22
Alabama,2020-12-16,305640,4198,4107,74
Alabama,2020-12-17,310335,4254,4695,56
Alabama,2020-12-18,315683,4296,5348,42
Alabama,2020-12-19,319904,4389,4221,93
Alabama,2020-12-20,322452,4389,2548,0
Alabama,2020-12-21,324832,4389,2380,0
Alabama,2020-12-22,329811,4452,4979,63
Alabama,2020-12-23,334569,4587,4758,135
Alabama,2020-12-24,338801,4676,4232,89
Alabama,2020-12-25,342426,4680,3625,4
Alabama,2020-12-26,343458,4685,1032,5
Alabama,2020-12-27,345628,4691,2170,6
Alabama,2020-12-28,347897,4712,2269,21
Alabama,2020-12-29,351804,4737,3907,25
Alabama,2020-12-30,356820,4774,5016,37
Alabama,2020-12-31,361226,4827,4406,53
Alabama,2021-01-01,365747,4872,4521,45
Alabama,2021-01-02,369458,4872,3711,0
Alabama,2021-01-03,371934,4873,2476,1
Alabama,2021-01-04,374095,4878,2161,5
Alabama,2021-01-05,379593,4886,5498,8
Alabama,2021-01-06,384184,4994,4591,108
Alabama,2021-01-07,389230,5080,5046,86
Alabama,2021-01-08,394287,5191,5057,111
Alabama,2021-01-09,399150,5299,4863,108
Alabama,2021-01-10,401900,5334,2750,35
Alabama,2021-01-11,404000,5347,2100,13
Alabama,2021-01-12,407848,5573,3848,226
Alabama,2021-01-13,410995,5760,3147,187
Alabama,2021-01-14,414583,5945,3588,185
Alabama,2021-01-15,417528,6030,2945,85
Alabama,2021-01-16,420681,6119,3153,89
Alabama,2021-01-17,422598,6120,1917,1
Alabama,2021-01-18,424028,6121,1430,1
Alabama,2021-01-19,426543,6126,2515,5
Alabama,2021-01-20,429655,6283,3112,157
Alabama,2021-01-21,432536,6379,2881,96
Alabama,2021-01-22,436087,6486,3551,107
Alabama,2021-01-23,439442,6657,3355,171
Alabama,2021-01-24,441170,6660,1728,3
Alabama,2021-01-25,443009,6662,1839,2
Alabama,2021-01-26,445909,6896,2900,234
Alabama,2021-01-27,449086,7172,3177,276
Alabama,2021-01-28,452734,7340,3648,168
Alabama,2021-01-29,455582,7566,2848,226
Alabama,2021-01-30,455582,7566,0,0
Alabama,2021-01-31,459639,7688,4057,122
Alabama,2021-02-01,460860,7688,1221,0
Alabama,2021-02-02,462938,7894,2078,206
Alabama,2021-02-03,465056,8203,2118,309
Alabama,2021-02-04,467823,8365,2767,162
Alabama,2021-02-05,469319,8449,1496,84
Alabama,2021-02-06,471311,8513,1992,64
Alabama,2021-02-07,472423,8515,1112,2
Alabama,2021-02-08,473348,8523,925,8
Alabama,2021-02-09,474666,8579,1318,56
Alabama,2021-02-10,476067,8888,1401,309
Alabama,2021-02-11,477570,9021,1503,133
Alabama,2021-02-12,478667,9180,1097,159
Alabama,2021-02-13,479856,9242,1189,62
Alabama,2021-02-14,480931,9242,1075,0
Alabama,2021-02-15,481605,9244,674,2
Alabama,2021-02-16,482488,9257,883,13
Alabama,2021-02-17,483167,9346,679,89
Alabama,2021-02-18,484365,9424,1198,78
Alabama,2021-02-19,485212,9573,847,149
Alabama,2021-02-20,485986,9590,774,17
Alabama,2021-02-21,486843,9592,857,2
Alabama,2021-02-22,487520,9592,677,0
Alabama,2021-02-23,488973,9660,1453,68
Alabama,2021-02-24,490220,9744,1247,84
Alabama,2021-02-25,491110,9831,890,87
Alabama,2021-02-26,491849,9869,739,38
Alabama,2021-02-27,492683,9930,834,61
Alabama,2021-02-28,493252,9929,569,-1
Alabama,2021-03-01,493769,9931,517,2
Alabama,2021-03-02,494421,9991,652,60
Alabama,2021-03-03,497154,10029,2733,38
Alabama,2021-03-04,498076,10094,922,65
Alabama,2021-03-05,498887,10122,811,28
Alabama,2021-03-06,499411,10149,524,27
Alabama,2021-03-07,499819,10148,408,-1
Alabama,2021-03-08,500092,10148,273,0
Alabama,2021-03-09,500616,10186,524,38
Alabama,2021-03-10,501398,10222,782,36
Alabama,2021-03-11,502263,10274,865,52
Alabama,2021-03-12,502711,10299,448,25
Alabama,2021-03-13,503305,10327,594,28
Alabama,2021-03-14,503673,10327,368,0
Alabama,2021-03-15,508229,10329,4556,2
Alabama,2021-03-16,508717,10337,488,8
Alabama,2021-03-17,509476,10363,759,26
Alabama,2021-03-18,510048,10391,572,28
Alabama,2021-03-19,510579,10425,531,34
Alabama,2021-03-20,511087,10436,508,11
Alabama,2021-03-21,511460,10436,373,0
Alabama,2021-03-22,511779,10436,319,0
Alabama,2021-03-23,511789,10450,10,14
Alabama,2021-03-24,512711,10487,922,37
Alabama,2021-03-25,513138,10504,427,17
Alabama,2021-03-26,513580,10523,442,19
Alabama,2021-03-27,514072,10526,492,3
Alabama,2021-03-28,514391,10526,319,0
Alabama,2021-03-29,514619,10526,228,0
Alabama,2021-03-30,514980,10527,361,1
Alabama,2021-03-31,515388,10554,408,27
Alabama,2021-04-01,515866,10553,478,-1
Alabama,2021-04-02,516266,10607,400,54
Alabama,2021-04-03,516615,10637,349,30
Alabama,2021-04-04,516809,10637,194,0
Alabama,2021-04-05,516918,10638,109,1
Alabama,2021-04-06,517114,10652,196,14
Alabama,2021-04-07,517452,10652,338,0
Alabama,2021-04-08,517916,10675,464,23
Alabama,2021-04-09,518234,10686,318,11
Alabama,2021-04-10,518588,10712,354,26
Alabama,2021-04-11,518899,10712,311,0
Alabama,2021-04-12,519071,10712,172,0
Alabama,2021-04-13,520503,10722,1432,10
Alabama,2021-04-14,520780,10728,277,6
Alabama,2021-04-15,521201,10736,421,8
Alabama,2021-04-16,521623,10739,422,3
Alabama,2021-04-17,522131,10790,508,51
Alabama,2021-04-18,522401,10790,270,0
Alabama,2021-04-19,522512,10790,111,0
Alabama,2021-04-20,523955,10798,1443,8
Alabama,2021-04-21,524367,10807,412,9
Alabama,2021-04-22,525049,10824,682,17
Alabama,2021-04-23,525477,10840,428,16
Alabama,2021-04-24,525898,10851,421,11
Alabama,2021-04-25,526131,10851,233,0
Alabama,2021-04-26,526348,10852,217,1
Alabama,2021-04-27,526707,10854,359,2
Alabama,2021-04-28,527083,10879,376,25
Alabama,2021-04-29,527513,10887,430,8
Alabama,2021-04-30,527922,10896,409,9
Alabama,2021-05-01,528309,10913,387,17
Alabama,2021-05-02,528597,10913,288,0
Alabama,2021-05-03,528784,10913,187,0
Alabama,2021-05-04,528784,10913,0,0
Alabama,2021-05-05,529446,10930,662,17
Alabama,2021-05-06,530011,10946,565,16
Alabama,2021-05-07,530325,10966,314,20
Alabama,2021-05-08,530744,10978,419,12
Alabama,2021-05-09,530988,10978,244,0
Alabama,2021-05-10,531094,10978,106,0
Alabama,2021-05-11,531404,10985,310,7
Alabama,2021-05-12,531751,10997,347,12
Alabama,2021-05-13,532895,11001,1144,4
Alabama,2021-05-14,537813,11024,4918,23
Alabama,2021-05-15,539829,11038,2016,14
Alabama,2021-05-16,540083,11038,254,0
Alabama,2021-05-17,540267,11038,184,0
Alabama,2021-05-18,540603,11043,336,5
Alabama,2021-05-19,540891,11045,288,2
Alabama,2021-05-20,541230,11077,339,32
Alabama,2021-05-21,541673,11080,443,3
Alabama,2021-05-22,541928,11112,255,32
Alabama,2021-05-23,542124,11112,196,0
Alabama,2021-05-24,542256,11112,132,0
Alabama,2021-05-25,542562,11124,306,12
Alabama,2021-05-26,542831,11138,269,14
Alabama,2021-05-27,543177,11140,346,2
Alabama,2021-05-28,543405,11146,228,6
Alabama,2021-05-29,543405,11146,0,0
Alabama,2021-05-30,543405,11146,0,0
Alabama,2021-05-31,543405,11146,0,0
Alabama,2021-06-01,544045,11156,640,10
Alabama,2021-06-02,544598,11167,553,11
Alabama,2021-06-03,545028,11188,430,21
Alabama,2021-06-04,545585,11198,557,10
Alabama,2021-06-05,545585,11198,0,0
Alabama,2021-06-06,545585,11198,0,0
Alabama,2021-06-07,546324,11217,739,19
Alabama,2021-06-08,546540,11220,216,3
Alabama,2021-06-09,546845,11249,305,29
Alabama,2021-06-10,547135,11252,290,3
Alabama,2021-06-11,547323,11266,188,14
Alabama,2021-06-12,547323,11266,0,0
Alabama,2021-06-13,547323,11266,0,0
Alabama,2021-06-14,547873,11274,550,8
Alabama,2021-06-15,548163,11281,290,7
Alabama,2021-06-16,548323,11288,160,7
Alabama,2021-06-17,548323,11288,0,0
Alabama,2021-06-18,548657,11306,334,18
Alabama,2021-06-19,548657,11306,0,0
Alabama,2021-06-20,548657,11306,0,0
Alabama,2021-06-21,549013,11311,356,5
Alabama,2021-06-22,549013,11311,0,0
Alabama,2021-06-23,549394,11328,381,17
Alabama,2021-06-24,549394,11328,0,0
Alabama,2021-06-25,549934,11336,540,8
Alabama,2021-06-26,549934,11336,0,0
Alabama,2021-06-27,549934,11336,0,0
Alabama,2021-06-28,550451,11338,517,2
Alabama,2021-06-29,550451,11338,0,0
Alabama,2021-06-30,550983,11352,532,14
Alabama,2021-07-01,550983,11352,0,0
Alabama,2021-07-02,551298,11358,315,6
Alabama,2021-07-03,551298,11358,0,0
Alabama,2021-07-04,551298,11358,0,0
Alabama,2021-07-05,551298,11358,0,0
Alabama,2021-07-06,551298,11358,0,0
Alabama,2021-07-07,552911,11387,1613,29
Alabama,2021-07-08,552911,11387,0,0
Alabama,2021-07-09,554071,11398,1160,11
Alabama,2021-07-10,554605,11402,534,4
Alabama,2021-07-11,554605,11402,0,0
Alabama,2021-07-12,555215,11402,610,0
Alabama,2021-07-13,555215,11402,0,0
Alabama,2021-07-14,556613,11428,1398,26
Alabama,2021-07-15,557578,11439,965,11
Alabama,2021-07-16,558577,11442,999,3
Alabama,2021-07-17,559478,11443,901,1
Alabama,2021-07-18,560202,11443,724,0
Alabama,2021-07-19,560920,11443,718,0
Alabama,2021-07-20,562311,11460,1391,17
Alabama,2021-07-21,563943,11462,1632,2
Alabama,2021-07-22,565510,11468,1567,6
Alabama,2021-07-23,567243,11472,1733,4
Alabama,2021-07-24,569131,11483,1888,11
Alabama,2021-07-25,570667,11483,1536,0
Alabama,2021-07-26,572070,11483,1403,0
Alabama,2021-07-27,574737,11492,2667,9
Alabama,2021-07-28,577463,11510,2726,18
Alabama,2021-07-29,577463,11510,0,0
Alabama,2021-07-30,577463,11510,0,0
Alabama,2021-07-31,585607,11536,8144,26
Alabama,2021-08-01,587405,11536,1798,0
Alabama,2021-08-02,589110,11536,1705,0
Alabama,2021-08-03,592417,11542,3307,6
Alabama,2021-08-04,595816,11561,3399,19
Alabama,2021-08-05,599633,11574,3817,13
Alabama,2021-08-06,603318,11600,3685,26
Alabama,2021-08-07,607209,11624,3891,24
Alabama,2021-08-08,607209,11624,0,0
Alabama,2021-08-09,612086,11625,4877,1
Alabama,2021-08-10,615901,11648,3815,23
Alabama,2021-08-11,619752,11689,3851,41
Alabama,2021-08-12,623919,11724,4167,35
Alabama,2021-08-13,627905,11765,3986,41
Alabama,2021-08-14,627905,11765,0,0
Alabama,2021-08-15,634897,11798,6992,33
Alabama,2021-08-16,637363,11799,2466,1
Alabama,2021-08-17,641386,11832,4023,33
Alabama,2021-08-18,645851,11872,4465,40
Alabama,2021-08-19,649741,11914,3890,42
Alabama,2021-08-20,653540,11942,3799,28
Alabama,2021-08-21,659750,12000,6210,58
Alabama,2021-08-22,663065,12000,3315,0
Alabama,2021-08-23,665653,12000,2588,0
Alabama,2021-08-24,665653,12000,0,0
Alabama,2021-08-25,665653,12000,0,0
Alabama,2021-08-26,676795,12103,11142,103
Alabama,2021-08-27,681828,12153,5033,50
Alabama,2021-08-28,688018,12219,6190,66
Alabama,2021-08-29,691451,12222,3433,3
Alabama,2021-08-30,694523,12222,3072,0
Alabama,2021-08-31,699729,12283,5206,61
Alabama,2021-09-01,704420,12291,4691,8
Alabama,2021-09-02,709732,12330,5312,39
Alabama,2021-09-03,714860,12394,5128,64
Alabama,2021-09-04,719280,12414,4420,20
Alabama,2021-09-05,722122,12415,2842,1
Alabama,2021-09-06,724688,12416,2566,1
Alabama,2021-09-07,727360,12420,2672,4
Alabama,2021-09-08,732151,12488,4791,68
Alabama,2021-09-09,736518,12552,4367,64
Alabama,2021-09-10,741318,12605,4800,53
Alabama,2021-09-11,745812,12673,4494,68
Alabama,2021-09-12,747606,12676,1794,3
Alabama,2021-09-13,750298,12678,2692,2
Alabama,2021-09-14,754242,12718,3944,40
Alabama,2021-09-15,757893,12784,3651,66
Alabama,2021-09-16,761865,12856,3972,72
Alabama,2021-09-17,764839,13048,2974,192
Alabama,2021-09-18,768301,13209,3462,161
Alabama,2021-09-19,770391,13210,2090,1
Alabama,2021-09-20,772311,13210,1920,0
Alabama,2021-09-21,775531,13460,3220,250
Alabama,2021-09-22,778549,13665,3018,205
Alabama,2021-09-23,781915,13798,3366,133
Alabama,2021-09-24,784484,13921,2569,123
Alabama,2021-09-25,787421,14022,2937,101
Alabama,2021-09-26,789054,14022,1633,0
Alabama,2021-09-27,790648,14025,1594,3
Alabama,2021-09-28,792632,14155,1984,130
Alabama,2021-09-29,794773,14200,2141,45
Alabama,2021-09-30,796475,14299,1702,99
Alabama,2021-10-01,798320,14393,1845,94
Alabama,2021-10-02,799800,14469,1480,76
Alabama,2021-10-03,800692,14470,892,1
Alabama,2021-10-04,801428,14471,736,1
Alabama,2021-10-05,802977,14542,1549,71
Alabama,2021-10-06,804249,14612,1272,70
Alabama,2021-10-07,805511,14675,1262,63
Alabama,2021-10-08,806560,14756,1049,81
Alabama,2021-10-09,807479,14857,919,101
Alabama,2021-10-10,808132,14858,653,1
Alabama,2021-10-11,808599,14859,467,1
Alabama,2021-10-12,809485,14869,886,10
Alabama,2021-10-13,810501,14980,1016,111
Alabama,2021-10-14,811551,15101,1050,121
Alabama,2021-10-15,812694,15142,1143,41
Alabama,2021-10-16,813481,15179,787,37
Alabama,2021-10-17,814025,15179,544,0
Alabama,2021-10-18,814363,15179,338,0
Alabama,2021-10-19,815324,15263,961,84
Alabama,2021-10-20,815989,15311,665,48
Alabama,2021-10-21,817054,15320,1065,9
Alabama,2021-10-22,818652,15378,1598,58
Alabama,2021-10-23,819597,15406,945,28
Alabama,2021-10-24,820011,15407,414,1
Alabama,2021-10-25,820312,15407,301,0
Alabama,2021-10-26,821255,15424,943,17
Alabama,2021-10-27,828648,15432,7393,8
Alabama,2021-10-28,830789,15484,2141,52
Alabama,2021-10-29,831165,15532,376,48
Alabama,2021-10-30,831653,15573,488,41
Alabama,2021-10-31,832047,15573,394,0
Alabama,2021-11-01,832264,15573,217,0
Alabama,2021-11-02,833009,15629,745,56
Alabama,2021-11-03,833493,15676,484,47
Alabama,2021-11-04,834582,15734,1089,58
Alabama,2021-11-05,835157,15786,575,52
Alabama,2021-11-06,835740,15834,583,48
Alabama,2021-11-07,836032,15834,292,0
Alabama,2021-11-08,836255,15834,223,0
Alabama,2021-11-09,837250,15879,995,45
Alabama,2021-11-10,837428,15917,178,38
Alabama,2021-11-11,838114,15934,686,17
Alabama,2021-11-12,838836,15934,722,0
Alabama,2021-11-13,839436,15981,600,47
Alabama,2021-11-14,839695,15981,259,0
Alabama,2021-11-15,839953,15981,258,0
Alabama,2021-11-16,840495,15999,542,18
Alabama,2021-11-17,840991,16025,496,26
Alabama,2021-11-18,841483,16043,492,18
Alabama,2021-11-19,841956,16063,473,20
Alabama,2021-11-20,842636,16073,680,10
Alabama,2021-11-21,842908,16073,272,0
Alabama,2021-11-22,843161,16073,253,0
Alabama,2021-11-23,843780,16086,619,13
Alabama,2021-11-24,844196,16102,416,16
Alabama,2021-11-25,844594,16115,398,13
Alabama,2021-11-26,844594,16115,0,0
Alabama,2021-11-27,844951,16115,357,0
Alabama,2021-11-28,845108,16115,157,0
Alabama,2021-11-29,845284,16116,176,1
Alabama,2021-11-30,845761,16119,477,3
Alabama,2021-12-01,846297,16143,536,24
Alabama,2021-12-02,847064,16157,767,14
Alabama,2021-12-03,847659,16172,595,15
Alabama,2021-12-04,848137,16185,478,13
Alabama,2021-12-05,848498,16185,361,0
Alabama,2021-12-06,848779,16185,281,0
Alabama,2021-12-07,849409,16199,630,14
Alabama,2021-12-08,850096,16203,687,4
Alabama,2021-12-09,850645,16203,549,0
Alabama,2021-12-10,851237,16243,592,40
Alabama,2021-12-11,851950,16265,713,22
Alabama,2021-12-12,852280,16265,330,0
Alabama,2021-12-13,852574,16265,294,0
Alabama,2021-12-14,854229,16285,1655,20
Alabama,2021-12-15,854876,16304,647,19
Alabama,2021-12-16,855692,16320,816,16
Alabama,2021-12-17,856600,16343,908,23
Alabama,2021-12-18,857292,16353,692,10
Alabama,2021-12-19,857844,16353,552,0
Alabama,2021-12-20,858396,16353,552,0
Alabama,2021-12-21,859650,16368,1254,15
Alabama,2021-12-22,861110,16380,1460,12
Alabama,2021-12-23,863170,16402,2060,22
Alabama,2021-12-24,865636,16418,2466,16
Alabama,2021-12-25,868085,16418,2449,0
Alabama,2021-12-26,868948,16418,863,0
Alabama,2021-12-27,870627,16418,1679,0
