location,date,daily_vaccinations
Alabama,2021-01-12,0.0
Alabama,2021-01-13,5906.0
Alabama,2021-01-14,7083.0
Alabama,2021-01-15,7478.0
Alabama,2021-01-16,7498.0
Alabama,2021-01-17,7509.0
Alabama,2021-01-18,7517.0
Alabama,2021-01-19,7523.0
Alabama,2021-01-20,7880.0
Alabama,2021-01-21,10517.0
Alabama,2021-01-22,14107.0
Alabama,2021-01-23,16202.0
Alabama,2021-01-24,18294.0
Alabama,2021-01-25,18196.0
Alabama,2021-01-26,17738.0
Alabama,2021-01-27,18178.0
Alabama,2021-01-28,16153.0
Alabama,2021-01-29,14514.0
Alabama,2021-01-30,17271.0
Alabama,2021-01-31,15748.0
Alabama,2021-02-01,15381.0
Alabama,2021-02-02,16703.0
Alabama,2021-02-03,17414.0
Alabama,2021-02-04,18491.0
Alabama,2021-02-05,18526.0
Alabama,2021-02-06,16105.0
Alabama,2021-02-07,15480.0
Alabama,2021-02-08,15622.0
Alabama,2021-02-09,17012.0
Alabama,2021-02-10,18209.0
Alabama,2021-02-11,19258.0
Alabama,2021-02-12,20074.0
Alabama,2021-02-13,20855.0
Alabama,2021-02-14,21417.0
Alabama,2021-02-15,22405.0
Alabama,2021-02-16,20816.0
Alabama,2021-02-17,19174.0
Alabama,2021-02-18,18400.0
Alabama,2021-02-19,24002.0
Alabama,2021-02-20,25111.0
Alabama,2021-02-21,25194.0
Alabama,2021-02-22,24164.0
Alabama,2021-02-23,25489.0
Alabama,2021-02-24,27098.0
Alabama,2021-02-25,27531.0
Alabama,2021-02-26,22104.0
Alabama,2021-02-27,22022.0
Alabama,2021-02-28,21984.0
Alabama,2021-03-01,22111.0
Alabama,2021-03-02,22436.0
Alabama,2021-03-03,22904.0
Alabama,2021-03-04,23916.0
Alabama,2021-03-05,24388.0
Alabama,2021-03-06,24087.0
Alabama,2021-03-07,23947.0
Alabama,2021-03-08,24040.0
Alabama,2021-03-09,24118.0
Alabama,2021-03-10,24827.0
Alabama,2021-03-11,25376.0
